"","year","place","score","show","corps","avg_date","diff"
"1",2010,3,96.4,"Metropolis: The Future is Now","Bluecoats",2009.25,0.75
"2",2011,7,92.05,"Brave New World ","Bluecoats",2002.66666666667,8.33333333333326
"3",2012,6,92.55,"UnMasQued","Bluecoats",2001.57142857143,10.4285714285713
"4",2013,5,93.35,"...to look for America ","Bluecoats",1970.5,42.5
"5",2014,2,97.175,"Tilt","Bluecoats",2009.75,4.25
"6",2015,3,96.925,"Kinetic Noise","Bluecoats",1995.33333333333,19.6666666666667
"7",2016,1,97.65,"Down Side Up","Bluecoats",2002.28571428571,13.7142857142858
"8",2017,5,95.163,"Jagged Line","Bluecoats",2003.8,13.2
"9",2018,3,96.95,"Session 44","Bluecoats",1987.83333333333,30.1666666666667
"10",2019,2,98.238,"The Bluecoats","Bluecoats",1967,52
"11",2010,1,98.9,"Through a Glass, Darkly ","Blue Devils",1950,60
"12",2011,2,97.8,"The Beat My Heart Skipped","Blue Devils",1974,37
"13",2012,1,98.7,"Cabaret Voltaire","Blue Devils",1978,34
"14",2013,2,98.05,"The re:Rite of Spring ","Blue Devils",1965,48
"15",2014,1,99.65,"Felliniesque","Blue Devils",1990,24
"16",2015,1,97.65,"Ink  ","Blue Devils",2009,6
"17",2016,2,97.25,"As Dreams Are Made On","Blue Devils",1991,25
"18",2017,1,98.538,"Metamorph","Blue Devils",2000,17
"19",2018,2,97.35,"Dreams and Nighthawks","Blue Devils",1996,22
"20",2019,1,98.325,"Ghostlight","Blue Devils",2002,17
"21",2010,6,93.15,"Into the Light ","Phantom Regiment",2000,10
"22",2011,5,95.05,"Juliet ","Phantom Regiment",1884.4,126.6
"23",2012,3,96.55,"Turandot","Phantom Regiment",1926,86
"24",2013,6,93.25,"Triumphant Journey ","Phantom Regiment",1952,61
"25",2014,7,91.425,"Swan Lake ","Phantom Regiment",1958.8,55.2
"26",2015,7,90.325,"City of Light  ","Phantom Regiment",1926.5,88.5
"27",2016,8,89.963,"Voice of Promise ","Phantom Regiment",1979.5,36.5
"28",2017,9,88.125,"Phantasm  ","Phantom Regiment",1938.4,78.5999999999999
"29",2018,11,86.95,"This New World ","Phantom Regiment",1963.2,54.8
"30",2019,12,87.238,"I Am Joan","Phantom Regiment",1983.57142857143,35.4285714285713
